Name	Code	Doctorate	Special Degree(Juris Doctor)	Master's Degree +30	Master's Degree	Fifth Year within BA	Fifth Year Induction	Fifth Year	Baccalaureate Degree +30	Baccalaureate Degree	Associate Degree	None Reported	Total
Alameda	01	143	5	874	3,303	3	2	7	2,241	5,455	106	181	12,320
Alpine	02	0	0	0	2	0	0	0	8	1	0	0	11
Amador	03	6	0	19	66	0	0	0	170	33	0	0	294
Butte	04	4	0	99	224	1	0	4	1,168	204	2	1	1,707
Calaveras	05	1	0	34	33	0	0	0	162	67	1	2	300
Colusa	06	0	0	14	44	0	0	0	154	53	1	1	267
Contra Costa	07	86	5	1,185	1,600	1	2	4	3,226	2,451	1	22	8,583
Del Norte	08	0	0	7	22	0	0	0	140	48	0	2	219
El Dorado	09	3	0	108	329	0	0	0	770	307	1	1	1,519
Fresno	10	46	9	297	2,610	5	5	36	4,697	2,922	21	59	10,707
Glenn	11	0	0	8	40	0	0	0	235	32	3	7	325
Humboldt	12	3	3	65	110	5	1	13	698	181	3	5	1,087
Imperial	13	7	2	226	335	0	0	0	681	237	3	15	1,506
Inyo	14	3	0	27	61	0	0	0	69	80	0	0	240
Kern	15	44	0	1,309	1,208	3	5	7	4,478	2,372	7	139	9,572
Kings	16	6	2	51	329	0	0	0	769	414	0	8	1,579
Lake	17	3	4	26	117	0	0	0	307	182	0	3	642
Lassen	18	1	0	5	46	1	0	0	116	51	0	3	223
Los Angeles	19	1,034	100	8,877	25,884	270	131	77	11,918	24,735	153	443	73,622
Madera	20	4	0	278	97	1	0	1	991	214	1	6	1,593
Marin	21	25	1	220	497	1	0	0	899	223	1	5	1,872
Mariposa	22	1	0	4	20	0	0	0	54	31	0	3	113
Mendocino	23	1	3	73	92	1	0	3	435	211	1	7	827
Merced	24	7	1	109	281	0	0	1	1,834	568	5	6	2,812
Modoc	25	0	0	4	18	0	0	0	56	13	0	0	91
Mono	26	0	0	9	36	0	0	0	43	30	0	2	120
Monterey	27	33	8	228	1,088	6	4	84	1,022	1,297	13	183	3,966
Napa	28	9	0	71	361	0	0	0	351	265	10	13	1,080
Nevada	29	1	1	38	128	0	0	5	347	123	1	2	646
Orange	30	160	9	3,908	8,146	19	30	126	3,722	4,782	28	66	20,996
Placer	31	12	2	302	923	23	208	21	1,775	388	0	1	3,655
Plumas	32	0	1	4	32	0	0	0	40	71	0	4	152
Riverside	33	142	3	4,616	7,781	160	0	7	5,084	1,786	10	44	19,633
Sacramento	34	55	23	321	3,695	3	3	5	2,782	5,438	6	102	12,433
San Benito	35	7	0	37	68	0	1	2	325	68	0	1	509
San Bernardino	36	105	14	3,110	5,318	2	15	21	5,380	5,115	28	196	19,304
San Diego	37	302	19	3,252	10,704	29	14	42	5,903	4,392	27	99	24,783
San Francisco	38	12	1	11	729	0	0	0	961	632	1	1,600	3,947
San Joaquin	39	44	1	835	1,450	6	1	8	2,650	2,325	4	18	7,342
San Luis Obispo	40	1	0	135	360	1	1	5	989	279	3	2	1,776
San Mateo	41	57	5	787	1,226	3	19	2	1,729	1,285	4	6	5,123
Santa Barbara	42	30	4	267	1,366	3	4	22	1,517	500	4	6	3,723
Santa Clara	43	128	6	1,902	3,712	7	9	11	4,007	3,227	4	35	13,048
Santa Cruz	44	13	0	180	410	3	5	20	812	505	0	1	1,949
Shasta	45	5	3	45	308	3	2	2	803	196	2	10	1,379
Sierra	46	0	0	0	4	1	0	0	23	0	0	1	29
Siskiyou	47	3	0	13	75	2	0	6	183	120	1	4	407
Solano	48	20	0	358	419	0	0	3	1,283	908	0	4	2,995
Sonoma	49	24	3	411	697	1	7	5	2,029	951	4	20	4,152
Stanislaus	50	20	8	669	369	1	1	5	3,264	1,064	6	7	5,414
Sutter	51	7	0	190	360	1	0	1	672	510	1	25	1,767
Tehama	52	2	2	34	33	0	0	0	364	117	3	10	565
Trinity	53	1	0	4	21	5	0	1	65	16	0	1	114
Tulare	54	19	12	299	1,252	8	1	1	2,353	1,248	4	21	5,218
Tuolumne	55	0	2	24	30	0	0	0	198	77	4	1	336
Ventura	56	27	7	428	2,786	25	0	12	1,241	1,992	7	15	6,540
Yolo	57	11	0	154	264	0	0	0	881	300	0	1	1,611
Yuba	58	3	0	49	87	1	1	5	264	264	0	53	727
State	00	2,681	269	36,610	91,606	605	472	575	89,338	81,356	485	3,473	307,470
