Name	Code	Avg Years of Service	Avg Years in District	# First Year Staff	# Second Year Staff
Alameda	01	12	10	1,070	678
Alpine	02	14	7	2	2
Amador	03	13	10	20	10
Butte	04	15	12	90	70
Calaveras	05	16	11	25	21
Colusa	06	12	10	33	19
Contra Costa	07	13	11	490	461
Del Norte	08	14	13	18	8
El Dorado	09	14	11	54	79
Fresno	10	13	11	924	562
Glenn	11	12	10	30	29
Humboldt	12	12	9	113	66
Imperial	13	13	12	76	76
Inyo	14	11	8	33	9
Kern	15	12	10	983	620
Kings	16	12	10	121	122
Lake	17	10	7	78	50
Lassen	18	12	9	28	9
Los Angeles	19	15	14	4,109	3,569
Madera	20	13	10	97	113
Marin	21	14	10	93	59
Mariposa	22	14	10	10	7
Mendocino	23	11	8	75	69
Merced	24	13	12	242	174
Modoc	25	12	11	6	8
Mono	26	12	10	12	8
Monterey	27	11	8	549	300
Napa	28	14	11	30	40
Nevada	29	14	9	45	39
Orange	30	15	13	930	716
Placer	31	15	11	116	158
Plumas	32	12	11	21	13
Riverside	33	14	12	1,019	763
Sacramento	34	14	12	741	711
San Benito	35	13	10	50	35
San Bernardino	36	13	12	1,326	1,095
San Diego	37	14	12	1,337	1,076
San Francisco	38	14	13	150	297
San Joaquin	39	13	11	446	494
San Luis Obispo	40	13	11	106	85
San Mateo	41	13	10	350	298
Santa Barbara	42	13	10	271	190
Santa Clara	43	13	10	847	760
Santa Cruz	44	12	10	172	156
Shasta	45	13	10	95	88
Sierra	46	12	10	5	2
Siskiyou	47	13	9	37	27
Solano	48	12	11	340	278
Sonoma	49	13	10	302	218
Stanislaus	50	14	11	376	332
Sutter	51	12	8	235	45
Tehama	52	14	11	32	36
Trinity	53	14	10	9	6
Tulare	54	13	10	391	310
Tuolumne	55	14	10	33	20
Ventura	56	15	13	318	263
Yolo	57	13	10	117	79
Yuba	58	12	11	71	50
State	00	14	12	19,699	15,878
